type,title,date,authors,doi,publisher,venue,location
paper-conference,OneBusAway: Results from providing real-time arrival information for public transit,2010,"['B. Ferris', 'K. Watkins', 'A. Borning']",10.1145/1753326.1753597,ACM,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,New York
paper-conference,Micro-navigation for urban bus passengers: Using the internet of things to improve the public transport experience,2014,"['S. Foell', 'G. Kortuem', 'R. Rawassizadeh', 'M. Handte', 'U. Iqbal', 'P. Marrón']",10.4108/icst.urb-iot.2014.257373,ICST,Proceedings of the First International Conference on IoT in Urban Space,Brussels
article-journal,Comparing color and leader line highlighting strategies in coordinated view geovisualizations,2015-03,"['A.L. Griffin', 'A.C. Robinson']",temp3755,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Touching transport --- a case study on visualizing metropolitan public transit on interactive tabletops,2014,"['T. Nagel', 'M. Maitan', 'E. Duval', 'A.V. Moere', 'J. Klerkx', 'K. Kloeckl', 'C. Ratti']",10.1145/2598153.2598180,ACM,Proceedings of the 2014 International Working Conference on Advanced Visual Interfaces,New York
article-journal,Visualization in transportation: Challenges and opportunities for everyone,2010-07,['M.L. Pack'],10.1109/MCG.2010.79,,IEEE Computer Graphics and Applications,
article-journal,Visually exploring transportation schedules,2016-01,"['C. Palomo', 'Z. Guo', 'C.T. Silva', 'J. Freire']",10.1109/TVCG.2015.2467592,,IEEE Transactions on Visualization and Computer Graphics,
book,Mobility Data Management and Exploration,2014,[],10.5555/2602439,Springer,,New York
paper-conference,State of the art: Coordinated & multiple views in exploratory visualization,2007,['J. Roberts'],10.1109/CMV.2007.20,,Proceedings of the 5th International Conference on Coordinated and Multiple Views in Exploratory Visualization,
chapter,Cluster and calendar based visualization of time series data,,"['J. Wijk', 'E. Selow']",10.5555/857189.857665,,In,
article-journal,Visualizing mobility of public transportation system,2014-12,"['W. Zeng', 'C.-W. Fu', 'S.M. Arisona', 'A. Erath', 'H. Qu']",temp3762,,IEEE Transactions on Visualization and Computer Graphics,
research-article,Enhancing Infographics Based on Symmetry Saliency,2016,"['Kouhei Yasuda', 'Shigeo Takahashi', 'Hsiangyun Wu']",10.1145/2968220.2968224,ACM,vinci,
article-journal,Visual search and stimulus similarity,1989,"['J. Duncan', 'G.W. Humphreys']",.apa.org/getdoi.cfm?doi=10.1037/0033-295X.96.3.433,,Psychological Review,
article-journal,Gradient domain high dynamic range compression,2002,"['R. Fattal', 'D. Lischinski', 'M. Werman']",10.1145/566654.566573,,ACM Transactions on Graphics,
paper-conference,Goal-directed search with a top-down modulated computational attention system,2005,"['S. Frintrop', 'G. Backer', 'E. Rome']",10.1007/11550518_15,,Proceedings of the Annual Meeting of the German Association for Pattern Recognition,
paper-conference,A real-time visual attention system using integral images,2007,"['S. Frintrop', 'M. Klodt', 'E. Rome']",temp3766,,International Conference on Computer Vision Systems,
article-journal,Focus-of-attention from local color symmetries,2004,['G. Heidemann'],10.1109/TPAMI.2004.29,,IEEE Transactions on Pattern Analysis and Machine Intelligence,
article-journal,Design and application of real-time visual attention model for the exploration of 3D virtual environments,2012,"['S. Hillaire', 'A. Lecuyer', 'T. Regia-Corte', 'R. Cozot', 'J. Royan', 'G. Breton']",10.1109/TVCG.2011.154,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,A model of saliency-based visual attention for rapid scene analysis,1998,"['L. Itti', 'C. Koch', 'Niebur ']",10.1109/34.730558,,IEEE Transactions on Pattern Analysis and Machine Intelligence,
article-journal,A salience-based quality metric for visualization,2010,"['H. Jänicke', 'M. Chen']",10.1111/j.1467-8659.2009.01667.x,,Computer Graphics Forum,
article-journal,Saliency-guided enhancement for volume visualization,2006,"['Y. Kim', 'A. Varshney']",10.1109/TVCG.2006.174,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Shifts in selective attention: Towards the underlying neural circuitry,1985,"['C. Koch', 'S. Ullman']",temp3772,,Human Neurobiology,
article-journal,Predicting eye fixations on complex visual stimuli using local symmetry,2011,"['G. Kootstra', 'B. Boer', 'L. Schomaker']",temp3773,,Cognitive Computation,
paper-conference,Automatic blending of multiple perspective views for aesthetic composition,2010,"['K. Mashio', 'K. Yoshida', 'S. Takahashi', 'M. Okada']",10.5555/1894345.1894373,,Proceedings of the 10th International Symposium on Smart Graphics (Smart Graphics 2010,
paper-conference,Focus and context in mixed reality by modulating first order salient features,2010,"['E. Mendez', 'S. Feiner', 'D. Schmalstieg']",10.5555/1894345.1894374,,Proceedings of the 10th International Symposium on Smart Graphics (Smart Graphics 2010,
article-journal,Conjoining Gestalt rules for abstraction of architectural drawings,2011,"['L. Nan', 'A. Sharf', 'K. Xie', 'T.-T. Wong', 'O. Deussen', 'D. Cohen-Or', 'B. Chen']",10.1145/2070781.2024219,,ACM Transactions on Graphics,
article-journal,Modeling the influence of task on attention,2005,"['V. Navalpakkam', 'L. Itti']",temp3777,,Vision Research,
article-journal,"The role of features in preattentive vision: comparison of orientation, motion and color cues",1993,['H.C. Nothdurft'],temp3778,,Vision Research,
article-journal,Preprocessing of face images: Detection of features and pose normalization,1998,"['D. Reisfeld', 'Y. Yeshurun']",10.1006/cviu.1997.0640,,Computer Vision and Image Understanding,
article-journal,Facial symmetry and the perception of beauty,1998,"['G. Rhodes', 'F. Proffitt', 'J.M. Grady', 'A. Sumich']",temp3780,,Psychonomic Bulletin & Review,
paper-conference,Real-time enhancement of image and video saliency using semantic depth of field,"['2010', '2010']","['Z. Su', 'S. Takahashi']",temp3781,,Proceedings of International Conference on Computer Vision Theory and Applications,
article-journal,A feature-integration theory of attention,1980,"['A.M. Treisman', 'G. Gelade']",10.1016/0010-0285%2880%2990005-,,Cognitive Psychology,
paper-conference,A two-stage approach to saliency detection in images,2008,"['Z. Wang', 'B. Li']",temp3783,,"Proceedings of the IEEE International Conference on Acoustics, Speech and Signal Processing, 2008 (ICASSP 2008",
book,"Information Visualization: Perception for Design. Number Book, Whole",2012,['C. Ware'],10.5555/2285540,Morgan Kaufmann,,San Diego
article-journal,Digital bas-relief from 3D scenes,2007,"['T. Weyrich', 'J. Deng', 'C. Barnes', 'S. Rusinkiewicz', 'A. Finkelstein']",10.1145/1276377.1276417,,ACM Transactions on Graphics,
paper-conference,Gestalt saliency: Salient region detection based on Gestalt principles,2013,"['J. Wu', 'L. Zhang']",temp3786,,Proceedings of the 20th IEEE International Conference on Image Processing (ICIP 2013,
paper-conference,Perceptually-guided design of nonperspectives through pictorial depth cues,2010,"['K. Yoshida', 'S. Takahashi', 'H. Ono', 'I. Fujishiro', 'M. Okada']",10.1109/CGIV.2010.33,,"Proceedings of 7th International Conference on Computer Graphics, Imaging and Visualization (CGiV2010",
article-journal,A computational model for object-based visual saliency: Spreading attention along Gestalt cues,2016,"['J.-G. Yu', 'G.-S. Xia', 'C. Gao', 'A. Samal']",10.1109/TMM.2015.2505908,,IEEE Transactions on Multimedia,
research-article,Deep Exploration of Multidimensional Data with Linkable Scatterplots,2016,"['Quang Vinh Nguyen', 'Simeon J Simoff', 'Yu Qian', 'Maolin Huang']",10.1145/2968220.2968248,ACM,vinci,
,"Challenges for Visual Analytics""",,"['J. Thomas', 'J. Kielman']",10.1057/ivs.2009.26,,,
book,The Top 10 Challenges in Extreme-Scale Visual Analytics,2012,"['P.C.Shen Wong', 'H.W. Johnson', 'C. R.', 'C. Chen', 'R.B. Ross']",10.1109/MCG.2012.87,IEEE Computer Graphics and Applications,,
article-journal,Promises and Challenges of Big Data Computing in Health Sciences,"['2015', '2015']","['T. Huang', 'L. Lan', 'X. Fang', 'P. An', 'J. Min', 'F. Wang']",10.1016/j.bdr.2015.02.002,,Big Data Research,
article-journal,"Discovering Big Data Modelling for Educational World""","['2015', '2015']",['J.T. Wassan'],temp3792,,Procedia -- Social and Behavioural Sciences,
book,"The Visual Organization: Data Visualization, Big Data, and the Quest for Better Decisions",2014,['P. Simon'],10.5555/2614423,J. Wiley & Sons,,NJ
,,,['C. Ware'],10.5555/983611,,,
chapter,Big Data Visualization Patterns,2013,"['N. Sawant', 'H. Shah']",temp3795,,Big Data Application Architecture Q & A: A Problem-Solution Approach,
book,Mastering the Information Age: Solving Problems with Visual Analytics,2010,"['D. Keim', 'J. Kohlhammer', 'G. Ellis', 'F. Mansmann']",temp3796,Eurographics Association,,
book,Illuminating the Path,2005,"['J.J. Thomas', 'K.A. Cook']",temp3797,"IEEE Computer Society Press, Los Alamitos",,
book,"Visualize This: The FlowingData Guide to Design, Visualization, and Statistics",2011,['N. Yau'],temp3798,Wiley,,
book,,2012,"['N. Majumdar', 'S. Banerjee']",10.5555/2481016,MATLAB Graphics and Data Visualization Cookbook. PACKT publishing,,
article-journal,The early origins and development of the scatterplot,2005,"['M. Friendly', 'D. Denis']",10.1002/jhbs.20078,,Journal of the History of the Behavioral Sciences,
chapter,Interactive Visualisation for Decision Support and Evaluation of Robustness,2005,"['I.S.J. Packham', 'M.Y. Rafiq', 'M.F. Borthwick', 'S.L. Denham']",10.1016/j.aei.2005.07.006,,Theory and In Practice. Advanced Engineering Informatics,
,,,['Gapminder '],temp3802,,,
,,,['Miner3D '],temp3803,,,
article-journal,"Big Data Visual Analytics for exploratory earth system simulation analysis""","['2013', '2013']","['C.A. Steed', 'D.M. Ricciuto', 'G. Shipman', 'B. Smith', 'P.E. Thornton', 'D. Wang', 'X. Shi', 'D.N. Williams']",10.5555/2745544.2745573,,Computers & Geosciences,
article-journal,On Lines and Planes of Closest Fit to Systems of Points in Space,1901,['K. Pearson'],abs/10.1080/14786440109462720,,Philosophical Magazine,
book,Multidimensional Scaling,1977,"['J.B. Jruskal', 'M. Wish']",temp3806,Sage Publications,,Beverly Hills
article-journal,The Self-organizing Map,1998,['T. Kohonen'],temp3807,,Neurocomputing,
article-journal,Empirical guidance on scatterplot and dimension reduction technique choices,2013,"['M. Sedlmair', 'T. Munzner', 'M. Tory']",10.1109/TVCG.2013.153,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Generalized Scatter Plots,,"['D.A. Keim', 'M.C. Hao', 'U. Dayal', 'H. Janetzko', 'P. Bak']",10.1057/ivs.2009.34,,Information Visualization,
article-journal,Structure-Based Brushes: A Mechanism for Navigating Hierarchically Organized data and Information Spaces,2000,"['Y.H. Fua', 'M.O. Ward', 'E.A. Rundensteiner']",10.1109/2945.856996,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,The FlowVizMenu and Parallel Scatterplot Matrix: Hybrid Multidimensional Visualizations for Network Exploration,2010,"['C. Viau', 'M.J. McGuffin', 'Y.Jurisica Chiricota', 'I. ']",10.1109/TVCG.2010.205,,IEEE Trans. on Visualization and Computer Graphics,
article-journal,Plots of High Dimensional Data,1972,['D.F. Andrews'],temp3812,,Biometrics,
paper-conference,Hyperbox,1991,"['B. Alpern', 'L. Carter']",10.5555/949607.949629,,Proc. Visualization '91,"San Diego, CA"
article-journal,The Visual Design and Control of Trellis Display,1996,"['R.A. Becker', 'W.S. Cleveland', 'M.J. Shyu']",temp3814,,Journal of Computational and Graphical Statistics,
article-journal,The Plane with Parallel Coordinates,1985,['A. Inselberg'],temp3815,,The Visual Computer,
article-journal,Spatialization Design: Comparing Points and Landscape,2007,"['M.Sprague Tory', 'D. Wu', 'So W.Y. F.', 'T. Munzner']",10.1109/TVCG.2007.70596,,IEEE Trans. On Visualization and Computer Graphics,
article-journal,Comparing Dot and Landscape Spatialization for Visual Memory Differences,2009,"['M.Swindells Tory', 'C. ', 'R. Dreezer']",10.1109/TVCG.2009.127,,IEEE Trans. On Visualization and Computer Graphics,
article-journal,The Perception of Correlation in Scatter Plot,2010,"['Rensink R.', 'G. Baldridge']",10.1111/j.1467-8659.2009.01694.x,,Computer Graphics Forum,
,Data Visualization Techniques - From Basics to Big Data with SAS Visual Analytics,2015,['S.A.S.Institute Inc'],temp3819,,,
,,,['Tableau '],temp3820,,,
article-journal,TabuVis: A Tool for Visual Analytics Multidimensional Datasets,2013,"['Q.V. Nguyen', 'Y. Qian', 'M.L. Huang', 'J. Zhang']",temp3821,,SCIENCE CHINA Information Sciences,
paper-conference,Designing and Implementing an Interactive Scatterplot Visualization for a Tablet Computer,2014,"['R. Sadana', 'J. Stasko']",10.1145/2598153.2598163,,"Proc. the 2014 International Working Conference on Advanced Visual Interfaces (AVI'14), ACM",
paper-conference,Enhancing Scatterplot Matrices for Data with Ordering or Spatial Attributes,2006,"['Q. Cui', 'M.O. Ward', 'E.A. Rundensteiner']",temp3823,,"Proc. Visualization and Data Analysis, SPIE Proceedings",
article-journal,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,2008,"['N. Elmqvist', 'P. Dragicevic', 'J.-D. Fekete']",temp3824,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Quality-Based Visualization Matrices,2009,"['G. Albuquerque', 'M. Eisemann', 'D.J. Lehmann', 'H. Theisel', 'M. Magnorm']",temp3825,,"Proc. Vision, Modeling, and Visualization (VMV",
article-journal,The Parallel Coordinates Matrix,2012,"['J. Heinrich', 'J. Stasko', 'D. Weiskopf']",temp3826,,Computer Graphics Forum,
article-journal,GPLOM: The generalized plot matrix for visualizing multidimensional multivariate data,2013,"['J.-F. Im', 'M. McGuffin', 'R. Leung']",10.1109/TVCG.2013.160,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,The Generalized Pairs Plot,2013,"['W. Emerson', 'W.A. Green', 'B. Schloerke', 'J. Crowley', 'D. Cook', 'H. Hofmann', 'H. Wickham']",full/10.1080/10618600.2012.694762,,J. of Computational and Graphical Statistics,
article-journal,Designing Technology for Visualisation of Interactions on Mobile Devices,2009,"['K. Deray', 'S.J. Simoff']",temp3829,,Journal of Computing Science and Engineering,
,,,[],temp3830,,,
,,,[],temp3831,,,
paper-conference,Privacy Preserving OLAP,2005,"['R. Agrawa', 'R. Ikant', 'D. Thomas']",10.1145/1066157.1066187,,SIGMOD Conference,
article-journal,Unlocking the Complexity of Port Data with Visualization,2015,"['Q.V. Nguyen', 'K. Zhang', 'S. Simoff']",temp3833,,IEEE Transactions on Human-Machine Systems,
,Automobile Data Set,,[],temp3834,,,
,Adult Data Set,,[],temp3835,,,
article-journal,Representative Factor Generation for the Interactive Visual Analysis of High-Dimensional Data,2012,"['C. Turkay', 'A. Lundervold', 'A.J. Lundervold', 'H. Hauser']",10.1109/TVCG.2012.256,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Dimension projection matrix/tree: Interactive subspace visual exploration and analysis of high dimensional data,2013,"['X. Yuan', 'D. Ren', 'Z. Wang', 'C. Guo']",10.1109/TVCG.2013.150,,IEEE Transactions on Visualization and Computer Graphics,
research-article,Visibility Widgets: Managing Occlusion of Quantitative Data in 3D Terrain Visualization,2016,"['Martin Röhlig', 'H. Schumann']",10.1145/2968220.2968230,ACM,vinci,
paper-conference,X-toon: An extended toon shader,2006,"['P. Barla', 'J. Thollot', 'L. Markosian']",10.1145/1124728.1124749,,Proc. of ACM NPAR,
article-journal,Efficient occlusion-free visualization for navigation in mountainous areas,2013,"['H. Deng', 'L. Zhang', 'C. Han', 'Y. Ren', 'L. Zhang', 'J. Li']",10.1016/j.cageo.2012.09.016,,Comput. Geosci,
article-journal,Interactive urban context-aware visualization via multiple disocclusion operators,2015,"['H. Deng', 'L. Zhang', 'X. Mao', 'H. Qu']",temp3840,,IEEE Trans. Visual Comput. Graphics,
paper-conference,Interactive and view-dependent see-through lenses for massive 3D point clouds,2015,"['S. Discher', 'R. Richter', 'J. Döllner']",temp3841,,Proc. of JIGC,
paper-conference,Employing dynamic transparency for 3D occlusion management: Design issues and evaluation,2007,"['N. Elmqvist', 'U. Assarsson', 'P. Tsigas']",10.5555/1776994.1777065,,Proc. of IFIP INTERACT,
article-journal,A taxonomy of 3D occlusion management for visualization,2008,"['N. Elmqvist', 'P. Tsigas']",10.1109/TVCG.2008.59,,IEEE Trans. Visual Comput. Graphics,
paper-conference,Worldlets: 3D thumbnails for wayfinding in virtual environments,1997,"['T.T. Elvins', 'D.R. Nadeau', 'D. Kirsh']",10.1145/263407.263504,,Proc. of ACM UIST,
article-journal,Cutaways and ghosting: satisfying visibility constraints in dynamic 3D illustrations,1992,"['S.K. Feiner', 'D.D. Seligmann']",temp3845,,Vis Comput,
paper-conference,"Intuitive control of ""bird's eye"" overview images for navigation in an enormous virtual environment",1998,"['S. Fukatsu', 'Y. Kitamura', 'T. Masaki', 'F. Kishino']",10.1145/293701.293710,,Proc. of ACM VRST,
paper-conference,A concept of effective landmark depiction in geovirtual 3D environments by view-dependent deformation,2007,"['T. Glander', 'M. Trapp', 'J. Döllner']",temp3847,,Proc. of Int. Symp. on LBS and Telecartography,
article-journal,Colorbrewer.org: An online tool for selecting colour schemes for maps,2003,"['M. Harrower', 'C.A. Brewer']",temp3848,,Cartogr J,
book,Cartographic Relief Presentation,2007,['E. Imhof'],temp3849,ESRI Press,,
article-journal,Visualization of geographically related multidimensional data in virtual 3D scenes,2000,['M. Kreuseler'],10.1016/S0098-3004%2899%2900036-9,,Comput. Geosci,
article-journal,3D feature surface properties and their application in geovisualization,2010,"['H. Lorenz', 'J. Döllner']",temp3851,,Comput. Environ. Urban Syst,
article-journal,Context aware terrain visualization for wayfinding and navigation,2008,"['S. Möser', 'P. Degener', 'R. Wahl', 'R. Klein']",10.1111/j.1467-8659.2008.01332.x,,Comput. Graph. Forum,
article-journal,Multi-perspective 3D panoramas,2014,"['S. Pasewaldt', 'A. Semmo', 'M. Trapp', 'J. Döllner']",10.1080/13658816.2014.922686,,Int J Geogr Inf Sci,
chapter,Multi-perspective detail+overview visualization for 3D building exploration,2013,"['S. Pasewaldt', 'M. Trapp', 'J. Döllner']",temp3854,,TPCG,
paper-conference,Integrating multiple 3D views through frame-of-reference interaction,2003,"['M. Plumlee', 'C. Ware']",10.5555/937938.937952,,Proc. of CMV,
article-journal,Design and display of enhancing information in desktop information-rich virtual environments: Challenges and techniques,2004,"['N.F. Polys', 'D.A. Bowman']",10.5555/1023632.1023636,,Virtual Real,
paper-conference,Efficient histogram generation using scattering on GPUs,2007,"['T. Scheuermann', 'J. Hensley']",10.1145/1230100.1230105,,Proc. of I3D,
article-journal,Interactive visualization of generalized virtual 3D city models using level-of-abstraction transitions,2012,"['A. Semmo', 'M. Trapp', 'J.E. Kyprianidis', 'J. Döllner']",10.1111/j.1467-8659.2012.03081.x,,Comput. Graph. Forum,
paper-conference,Virtual reality on a WIM: Interactive worlds in miniature,1995,"['R. Stoakley', 'M.J. Conway', 'R. Pausch']",10.1145/223904.223938,,Proc. of CH,
article-journal,Strategies for visualising 3D points-of-interest on mobile devices,2011,"['M. Trapp', 'L. Schneider', 'C. Lehmann', 'N. Holz', 'J. Döllner']",10.1080/17489725.2011.579579,,J Location Based Services,
article-journal,Importance-driven focus of attention,2006,"['I. Viola', 'M. Feixas', 'M. Sbert', 'M.E. Gröller']",10.1109/TVCG.2006.152,,IEEE Trans. Visual Comput. Graphics,
research-article,Eliciting Tacit Expertise in 3D Volume Segmentation,2016,"['Ruth West', 'Meghan Kajihara', 'Max Parola', 'Kathryn Hays', 'Luke Hillard', 'Anne Carlew', 'Jeremey Deutsch', 'Brandon Lane', 'Michelle Holloway', 'Brendan John', 'Anahita Sanandaji', 'Cindy Marie Grimm']",10.1145/2968220.2968235,ACM,vinci,
article-journal,Qualitative HCI research: Going behind the scenes,2016,"['A. Blandford', 'D. Furniss', 'S. Makri']",temp3862,,Synthesis Lectures on Human-Centered Informatics,
article-journal,Interphysician variability in defining the planning target volume in the irradiation of prostate and seminal vesicles,1998,"['L.F. Cazzaniga', 'M.A. Marinoni', 'A. Bossi', 'E. Bianchi', 'E. Cagna', 'D. Cosentino', 'L. Scandolaro', 'M. Valli', 'M. Frigerio']",temp3863,,Radiotherapy and Oncology,
article-journal,Cognitive task analysis,2008,"['R.E. Clark', 'D. Feldon', 'J.J. MerriÃńnboer', 'K. Yates', 'S. Early']",temp3864,,Handbook of Research on Educational Communications and Technology,
paper-conference,Sources of difficulty in imagining cross sections of 3D objects,2007,"['C.A. Cohen', 'M. Hegarty']",temp3865,Cognitive Science Society Austin TX,Proceedings of the Twenty-Ninth Annual Conference of the Cognitive Science Society,
paper-conference,Retrospective think-aloud method: Using eye movements as an extra cue for participants' verbalizations,2011,"['S. Elling', 'L. Lentz', 'M. Jong']",10.1145/1978942.1979116,ACM,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,
article-journal,A naturalistic study of railway controllers,2006,"['T. Farrington-Darby', 'J.R. Wilson', 'B. Norris', 'T. Clarke']",full/10.1080/00140130600613000,,Ergonomics,
article-journal,The impact of contouring uncertainty on rectal 3D dose--volume data: Results of a dummy run in a multicenter trial (airopros 01-02,2003,"['F. Foppiano', 'C. Fiorino', 'G. Frezza', 'C. Greco', 'R. Valdagni', 'A.N.W.G. Prostate Radiotherapy', ' ']",temp3868,,International Journal of Radiation Oncology* Biology* Physics,
article-journal,Assessing the quality of expertise differences in the comprehension of medical visualizations,2013,"['A. Gegenfurtner', 'A. Siewiorek', 'E. Lehtinen', 'R. Saljo']",temp3869,,Vocations and Learning,
,The validity of the stimulated retrospective think-aloud method as measured by eye tracking,2006,"['Z. Guan', 'S. Lee', 'E. Cuddihy', 'J. Ramey']",temp3870,,,
article-journal,Segmentations of MRI images of the female pelvic floor: A study of inter-and intra-reader reliability,2011,"['L. Hoyte', 'W. Ye', 'L. Brubaker', 'J.R. Fielding', 'M.E. Lockhart', 'M.E. Heilbrun', 'M.B. Brown', 'S.K. Warfield']",10.1002/jmri.22478,,Journal of Magnetic Resonance Imaging,
article-journal,Gaze path stimulation in retrospective think-aloud,2008,"['A. Hyrskykari', 'S. Ovaska', 'P. Majaranta', 'K.-J. Räihä', 'M. Lehtinen']",temp3872,,Journal of Eye Movement Research,
chapter,NIH/NSF visualization research challenges report,2006,"['C. Johnson', 'R. Moorhead', 'T. Munzner', 'H. Pfister', 'P. Rheingans', 'T.S. Yoo']",temp3873,IEEE Computing Society. Citeseer,Los Alamitos,Ca
chapter,Editing the topology of 3D models by sketching,2007,"['T. Ju', 'Q.-Y. Zhou', 'S.-M. Hu']",10.1145/1275808.1276430,ACM,"ACM SIGGRAPH 2007 Papers, SIGGRAPH '07","New York, NY, USA"
article-journal,Critical decision method for eliciting knowledge,1989,"['G.A. Klein', 'R. Calderwood', 'D. Macgregor']",temp3875,,"Systems, Man and Cybernetics, IEEE Transactions on",
article-journal,Current perspectives in medical image perception,2010,['E.A. Krupinski'],temp3876,,"Attention, Perception, & Psychophysics",
book,Maxqda: Qualitative data analysis,2007,['U. Kuckartz'],temp3877,VERBI software,,Berlin
paper-conference,Learning eye movement patterns for characterization of perceptual expertise,2012,"['R. Li', 'J. Pelz', 'P. Shi', 'C.O. Alm', 'A.R. Haake']",10.1145/2168556.2168645,,Proceedings of the Symposium on Eye Tracking Research and Applications,"New York, NY, USA"
article-journal,Effect of segmentation errors on 3D-to-2D registration of implant models in x-ray images,2005,"['M.R. Mahfouz', 'W.A. Hoff', 'R.D. Komistek', 'D.A. Dennis']",temp3879,,Journal of biomechanics,
book,Cognition and reality: Principles and implications of cognitive psychology,1976,['U. Neisser'],temp3880,WH Freeman/Times Books/Henry Holt & Co,,
article-journal,Interaction in the segmentation of medical images: a survey,2001,"['S.D. Olabarriaga', 'A.W. Smeulders']",temp3881,,Medical Image Analysis,
article-journal,User interaction in semi-automatic segmentation of organs at risk: a case study in radiotherapy,2015,"['A. Ramkumar', 'J. Dolz', 'H.A. Kirisli', 'S. Adebahr', 'T. Schimek-Jasch', 'U. Nestle', 'L. Massoptier', 'E. Varga', 'P.J. Stappers', 'W.J. Niessen', ' ']",temp3882,,Journal of digital imaging,
paper-conference,Where do experts look while doing 3D image segmentation,2016,"['A. Sanandaji', 'C. Grimm', 'R. West', 'M. Parola']",10.1145/2857491.2857538,ACM,Proceedings of the Ninth Biennial ACM Symposium on Eye Tracking Research & Applications,
paper-conference,Learning methodologies and discriminating visual cues for unsupervised image segmentation,2000,"['L.-K. Soh', 'C. Tsatsoulis']",temp3884,,Seventeenth International Conference on Machine Learning: Workshop on Machine Learning of Spatial Knowledge,"Palo Alto, CA"
article-journal,Definition of gross tumor volume in lung cancer: inter-observer variability,2002,"['J. Steene', 'N. Linthout', 'J. Mey', 'V. Vinh-Hung', 'C. Claassens', 'M. Noppen', 'A. Bel', 'G. Storme']",temp3885,,Radiotherapy and Oncology,
article-journal,Simultaneous truth and performance level estimation (staple): an algorithm for the validation of image segmentation,2004,"['S.K. Warfield', 'K.H. Zou', 'W.M. Wells']",temp3886,,"Medical Imaging, IEEE Transactions on",
book,Survey of 3D image segmentation methods,2007,['O. Wirjadi'],temp3887,ITWM,,
research-article,A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction,2016,"['Zheng Huang', 'Jed Limke', 'Jun Kong']",10.1145/2968220.2968236,ACM,vinci,
paper-conference,"HyperPalette: a Hybrid Computing Environment for Small Computing Devices""",2000,"['Y. Ayatsuka', 'N. Matsushita', 'J. Rekimoto']",10.1145/633292.633368,,Proc. CHI '00 Extended Abstracts on Human Factors in Computing Systems,
report,"The Goal Question Metric Approach""",1994,"['V.R. Basili', 'G. Caldiera', 'H.D. Rombach']",temp3889,"Department of Computer Science, University of Maryland",,
paper-conference,"Improving mobile internet usability""",2001,"['G. Buchanan', 'S. Farrant', 'M. Jones', 'H. Thimbleby']",10.1145/371920.372181,,Proc. the 10th international conference on World Wide Web,
book,Methods in Behavorial Research,2009,['P. Cozby'],temp3891,McGraw Hill,,
article-journal,"Natural throw and tilt interaction between mobile phones and distant displays""",2009,"['R. Dachselt', 'R. Buchholz']",10.1145/1520340.1520467,,CHI Ext. Abstracts,
article-journal,"Touch & Interact: Touch-based Interaction of Mobile Phones with Displays""",2008,"['R. Hardy', 'E. Rukzio']",10.1145/1409240.1409267,,Proc,
article-journal,"Synchronous Gestures for Multiple Persons and Computers""",2003,['K. Hinckley'],10.1145/964696.964713,,Proc,
article-journal,"Stitching: Pen Gestures that Span multiple Displays""",2004,"['K. Hinckley', 'G. Ramos', 'F. Guimbretiere', 'P. Baudisch', 'M. Smith']",10.1145/989863.989866,,Proc,
paper-conference,"Touch-and-Connect: A Connection Request Framework for Ad-hoc Networks and the Pervasive Computing Environment""",2003,"['Y. Iwasaki', 'N. Kawaguchi', 'Y. Inagaki']",10.5555/826025.826372,,Proc. PerCom'03,
article-journal,"User-Defined Gestures for Connecting Mobile Phones, Public Displays, and Tabletops""",2010,"['C. Kray', 'D. Nesbitt', 'J. Dawson', 'M. Rohs']",10.1145/1851600.1851640,,Proc,
article-journal,"Studying User-defined iPad Gestures for Interaction in Multi-display Environment""",2012,"['E. Kurdyukova', 'M. Redlin', 'E. Andre']",10.1145/2166966.2166984,,Proc,
article-journal,"IBM computer usability satisfaction questionnaires: psychometric evaluation and instructions for use""",1995,['J.R. Lewis'],10.1080/10447319509526110,,International Journal of Human-Computer Interaction,
paper-conference,"Memorability of Pre-designed and user-defined Gesture Sets""",2013,"['M. Nacenta', 'Y. Kamber', 'Y. Qiang', 'P. Kristensson']",10.1145/2470654.2466142,,Proc. CHI'2013,
article-journal,"A mobile 3D-GIS hybrid recommender system for tourism""",2012,"['J. Noguera', 'M. Barranco', 'R. Segura', 'L. Martínez']",10.1016/j.ins.2012.05.010,,Information Sciences,
paper-conference,"Point&Connect: Interaction-based Device Pairing for Mobile Phone Users""",2009,"['C. Peng', 'G. Shen', 'Y. Zhang', 'S. Lu']",10.1145/1555816.1555831,,"Proc. the 7th international conference on Mobile systems, applications, and services",
paper-conference,"SyncTap: An Interaction Technique for Mobile Networking""",2003,"['J. Rekimoto', 'Y. Ayatsuka', 'M. Kohno']",temp3903,,"Proc. 5th International Symposium on Mobile HCI, LNCS 2795",
